Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),ZONE 1:Zone Mean Air Temperature [C](Hourly),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Total Heating Rate [W](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Electricity Rate [W](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),InteriorLights:Electricity [J](Hourly) 
 03/17  03:00:00,-6.991666667,4.925,0,-0.915014401,0.001125577,0,0,0,0,0,0
 03/17  04:00:00,-6.558333333,5.941666667,0,-1.274182162,0.001105523,0,0,0,0,0,0
 03/17  05:00:00,-7.091666667,6.866666667,0,-1.751114168,0.001281156,0,0,0,0,0,0
 03/17  06:00:00,-8.091666667,7.725,0,-2.542765286,0.00153663,0,0,0,0,0,0
 03/17  07:00:00,-8.3,7.283333333,0,-2.992616279,0.001557748,0,0,0,0,0,0
 03/17  08:00:00,-8.3,5.358333333,0,19.06898557,0.001881929,10124.55058,13260.48338,0,47528071.63,47737740.16,3110400
 03/17  09:00:00,-8.3,3.641666667,3,20.00169751,0.002048465,7062.657467,10421.29429,0,37306990.91,37516659.44,3110400
 03/17  10:00:00,-7.366666667,2.925,66.66666667,20.00081703,0.002130444,5712.190209,7564.977506,0,27024250.5,27233919.02,3110400
 03/17  11:00:00,-5.358333333,2.45,370.5833333,20.00027434,0.002353334,4336.685976,5340.666549,0,19016731.05,19226399.58,3110400
 03/17  12:00:00,-2.475,2.725,764.1666667,20.00056986,0.002620846,3078.327012,3289.891882,0,11660641.73,11843610.77,3110400
 03/17  13:00:00,-0.108333333,5.491666667,906.25,20.00001865,0.002681386,2106.258378,1974.565318,0,6999235.851,7108435.145,3110400
